,amm,id,rate,timestamp,underlyingPrice,date
3946,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x173718d995185e97bb7b4643ec99e259617a7c2f0beb0835278b9db5b92803c1-0,-1.630434752334e-06,1608508860,637.5729942419222,2020-12-21 00:01:00
3945,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x4139d53b3ee7d191f44f2954439b61bef2587f116b46b4b40fd6532f9fd4669b-0,4.4269342528416e-05,1608512455,640.9170529077305,2020-12-21 01:00:55
3944,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x84396315a6698e05ade6dc377a0803c3f6c684afa38ad724c463999dc3126420-3,5.1106244265626e-05,1608516060,643.384304293,2020-12-21 02:01:00
3943,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xa0e9b803af68e0401492f76a2b1f0364aca0e7cbd78873ad96018378fa34d892-0,3.91177040055e-05,1608519660,643.7236579468612,2020-12-21 03:01:00
3942,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x3a020297ec1add0b019d29036ce80e60b84d44344d96fc2152d69f9ee0b5cbee-0,5.4089395267262e-05,1608523260,643.7078453599499,2020-12-21 04:01:00
3941,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xc85202fa287288497605e8ad651980243d58bc999f56cddf97e372cc0c458866-0,4.0970016366302e-05,1608526860,645.5403592744167,2020-12-21 05:01:00
3940,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x0707525b92c6ab1edc7bcceeb897269c7c31d62c73fa5eacf8837406969997d0-0,3.8428177540341e-05,1608530455,643.4065736760833,2020-12-21 06:00:55
3939,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x1b8c0e7dc56541efb1911e0429acc17e4b7fa5f1519014383eb67c0640d63dd4-0,8.3198729835349e-05,1608534060,639.9405732500055,2020-12-21 07:01:00
3938,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x16a91db34b7c78d9860de56a0ca39acc9523d132fc516a01625dfbfed67d31bf-0,4.5387426430313e-05,1608537660,644.6407155535361,2020-12-21 08:01:00
3937,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x55de023d06cdea39844ce1690d8543d633c2803c05085416ca93bd4179203e4b-0,-4.0689744643387e-05,1608541260,643.8594949485195,2020-12-21 09:01:00
3936,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xa2c3c95598002a3fb83fb05c1770fc8c2e5046772960ca51addb46ee3c7822d8-0,-2.8438975841603e-05,1608544860,631.0870904314694,2020-12-21 10:01:00
3935,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xc2da49c4e0a2e6bc2923550b39c3af599a0d91b2d0f0e7e895a271a37af77a5d-0,-2.9618510897379e-05,1608548460,616.2798246418389,2020-12-21 11:01:00
3934,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xd661a8a8fbf3bf813be0b2d39508ef15a2f1058193ba8435b1db282e6fb510ff-0,-5.650068275792e-06,1608552055,610.5988240134806,2020-12-21 12:00:55
3933,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x00f4a038f622c29342316c50f0638bd11c9f881ed7bcf7909e65c96058519685-0,-1.494759147788e-05,1608555660,603.7453337264806,2020-12-21 13:01:00
3932,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x0b0c8786679812937798d48dcaf8e9962cb49f580d7351cc20645b7823908fcd-0,3.0525709413761e-05,1608559260,608.7293905475333,2020-12-21 14:01:00
3931,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x101c16e5dba88bcf9011d88ca2fb69752c51640e8fe0dd189dd8af919a6b85da-0,-7.670138553249e-06,1608562855,612.0131885981306,2020-12-21 15:00:55
3930,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x0dc50f3ed7b7b26835e79264bea7b2f48ecc261fc79b4d7535a045bd09cb7a1d-0,-7.435447215518e-06,1608566460,616.8081873326389,2020-12-21 16:01:00
3929,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x8591d1b3650e4d1add76facf078ab038ede191e66127748d6cb3256b7daf2709-0,-5.09611688591e-06,1608570060,615.6034679618001,2020-12-21 17:01:00
3928,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xc18c3b98d9a9a6f40c6efe16be9bf432df6ff3558ae45bff15bfcd04e8bfc1cb-0,-3.9879383358451e-05,1608573660,609.8173807135584,2020-12-21 18:01:00
3927,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xf2c86eae0bd222c3a74a3aa518dff0e99813edbc7d8ae7b72a8b7a58eb02de0d-3,2.9381865549527e-05,1608577260,607.8995372802389,2020-12-21 19:01:00
3926,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x800180960416661d7b6e06f5e13c44731e8ec4f7609a041e1ec58c9377adf84f-0,4.5702112941023e-05,1608580855,610.4411561813333,2020-12-21 20:00:55
3925,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x86a3e766bff912b9ae6ee22331a6a059c7f40c734093c00564387a9256bb7d78-0,3.3491268845725e-05,1608584460,611.07323821425,2020-12-21 21:01:00
3924,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x223f3044059a172d9645cca6fa331d11a33659122775779806482592bc7acdca-0,2.8716002939312e-05,1608588055,613.0711562344917,2020-12-21 22:00:55
3923,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xc901e0a3d3dccbeb2af367a4f4b08685834912cc4fc212c9cc6d66145a8a2a8c-0,2.7926771602875e-05,1608591660,616.9157469716666,2020-12-21 23:01:00
3922,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xa889df62edbae2963b827653bfae9bf063bba1178d4bb34fe9c25eab800d49c0-0,-6.393403670161e-06,1608595255,614.7708440802555,2020-12-22 00:00:55
3921,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x635d0fe728ca517f86bd5baf4c37c43f391321ee0e8c3d57a9e4340b3a0d274b-0,-1.8070582612422e-05,1608598860,610.5288087712333,2020-12-22 01:01:00
3920,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x2d6041f85c19474327ab50fbf6c2a6620835ecacce27cbd05fcda665a42800ac-0,3.275583873118e-06,1608602460,606.1041088796611,2020-12-22 02:01:00
